Epoch_no,aeroplane,bench,cabinet,car,chair,display,lamp,speaker,rifle,sofa,table,telephone,watercraft
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07739829803535482,0.5050079345503774,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12798568639000235,0.5522183268018528,0.0,0.0,0.0,0.0,0.0
3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18205095843358374,0.5837515294413435,0.0,0.0,0.0,0.0,0.0
4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20513488759328946,0.5985140702563917,0.0,0.0,0.0,0.0,0.0
5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23142930484179594,0.6147047715325659,0.0,0.0,0.0,0.0,0.0
